image,Epsilon,label,runtime,network,ds
682,0.025,1,899.8368754386902,mnist-net,test
695,0.027,1,4524.379815578461,mnist-net,test
696,0.007,1,406.546968460083,mnist-net,test
700,0.025,1,470.2854518890381,mnist-net,test
716,0.001,1,124.2172465324402,mnist-net,test
725,0.017,1,438.7182660102844,mnist-net,test
735,0.029,1,3556.01411485672,mnist-net,test
745,0.039,1,5221.922811985016,mnist-net,test
749,0.015,1,681.5253829956055,mnist-net,test
754,0.019,1,745.4040355682373,mnist-net,test
755,0.027,1,2781.56031537056,mnist-net,test
767,0.035,1,6482.512244939804,mnist-net,test
768,0.011,1,436.8090565204621,mnist-net,test
772,0.023,1,794.4286177158356,mnist-net,test
777,0.029,1,3640.638180494309,mnist-net,test
783,0.015,1,486.89615178108215,mnist-net,test
790,0.015,1,451.21060013771057,mnist-net,test
798,0.025,1,731.9984951019287,mnist-net,test
809,0.009,1,1888.3361463546755,mnist-net,test
3,0.045,1,3575.0360236167908,mnist-net,train
6,0.027,1,952.3781142234802,mnist-net,train
8,0.025,1,2150.812707424164,mnist-net,train
14,0.013,1,1090.7546617984772,mnist-net,train
23,0.047,1,6600.141540527344,mnist-net,train
24,0.019,1,433.3209283351898,mnist-net,train
40,0.017,1,255.59998965263367,mnist-net,train
59,0.043,1,4423.502412557602,mnist-net,train
67,0.027,1,3114.319212913513,mnist-net,train
70,0.027,1,1889.609278678894,mnist-net,train
72,0.019,1,1380.5692529678345,mnist-net,train
77,0.041,1,4036.549048900604,mnist-net,train
78,0.037,1,4281.584977865219,mnist-net,train
99,0.029,1,7212.547322750092,mnist-net,train
102,0.017,1,525.7886636257172,mnist-net,train
104,0.025,1,483.5664954185486,mnist-net,train
105,0.041,1,3669.2938652038574,mnist-net,train
112,0.019,1,697.6730291843414,mnist-net,train
113,0.045,1,3188.66841506958,mnist-net,train
124,0.015,1,1668.0893805027008,mnist-net,train
128,0.019,1,347.802827835083,mnist-net,train
134,0.077,1,14731.940933465958,mnist-net,train
152,0.013,1,122.57336473464966,mnist-net,train
174,0.025,1,2602.7041800022125,mnist-net,train
177,0.035,1,4216.284102678299,mnist-net,train
184,0.031,1,2273.491471767425,mnist-net,train
200,0.031,1,4250.208171844482,mnist-net,train
201,0.047,1,4110.465936899185,mnist-net,train
205,0.049,1,6878.881015777588,mnist-net,train
208,0.021,1,714.7908089160919,mnist-net,train
211,0.027,1,849.5792157649994,mnist-net,train
224,0.021,1,834.7188637256622,mnist-net,train
231,0.029,1,947.5649318695068,mnist-net,train
248,0.033,1,1300.9558670520782,mnist-net,train
251,0.027,1,929.4374582767488,mnist-net,train
269,0.037,1,3361.3508388996124,mnist-net,train
270,0.015,1,379.9396283626557,mnist-net,train
276,0.017,1,1013.9931974411012,mnist-net,train
290,0.029,1,802.1287050247192,mnist-net,train
309,0.037,1,3501.1883311271667,mnist-net,train
310,0.017,1,229.7785894870758,mnist-net,train
315,0.041,1,3671.048272609711,mnist-net,train
345,0.039,1,6348.2670912742615,mnist-net,train
351,0.045,1,7146.081155061722,mnist-net,train
355,0.051,1,6221.209247350693,mnist-net,train
357,0.045,1,3384.9055695533752,mnist-net,train
358,0.023,1,1132.4336025714874,mnist-net,train
366,0.019,1,1450.37961435318,mnist-net,train
382,0.019,1,716.6787767410278,mnist-net,train
394,0.027,1,564.5108888149261,mnist-net,train
397,0.045,1,3684.970078706741,mnist-net,train
398,0.019,1,782.5259575843811,mnist-net,train
406,0.033,1,1361.0308771133425,mnist-net,train
408,0.019,1,577.242662191391,mnist-net,train
416,0.037,1,7920.2584636211395,mnist-net,train
443,0.043,1,10216.73490166664,mnist-net,train
447,0.043,1,5953.555059671402,mnist-net,train
450,0.005,1,116.78559565544128,mnist-net,train
454,0.019,1,1990.114055156708,mnist-net,train
455,0.039,1,4945.442036390305,mnist-net,train
466,0.025,1,3498.6638898849487,mnist-net,train
470,0.021,1,5269.306487798691,mnist-net,train
475,0.037,1,4086.978715181351,mnist-net,train
484,0.019,1,688.3538072109222,mnist-net,train
491,0.047,1,3483.3756091594696,mnist-net,train
492,0.041,1,4056.518896102905,mnist-net,train
507,0.041,1,6243.8858897686005,mnist-net,train
508,0.045,1,3792.623591184616,mnist-net,train
510,0.039,1,3153.0597450733185,mnist-net,train
533,0.039,1,4550.698385000229,mnist-net,train
535,0.043,1,3756.157403945923,mnist-net,train
538,0.033,1,4760.4535121917725,mnist-net,train
552,0.029,1,4422.495808839798,mnist-net,train
553,0.041,1,3067.53134226799,mnist-net,train
556,0.021,1,570.2652924060822,mnist-net,train
572,0.011,1,118.1209192276001,mnist-net,train
573,0.047,1,3361.872194290161,mnist-net,train
587,0.039,1,6001.039131164551,mnist-net,train
593,0.043,1,8875.261771917343,mnist-net,train
604,0.021,1,3358.6042709350586,mnist-net,train
609,0.049,1,7066.887068271637,mnist-net,train
618,0.017,1,707.6642823219299,mnist-net,train
637,0.027,1,2876.1723058223724,mnist-net,train
638,0.025,1,892.6008629798889,mnist-net,train
648,0.033,1,5434.450438499451,mnist-net,train
671,0.045,1,3624.468475580216,mnist-net,train
676,0.007,1,198.141015291214,mnist-net,train
678,0.019,1,1048.6076445579529,mnist-net,train
691,0.043,1,11086.03958249092,mnist-net,train
698,0.037,1,3262.039163351059,mnist-net,train
710,0.025,1,1148.1849436759949,mnist-net,train
711,0.045,1,2698.2768964767456,mnist-net,train
738,0.033,1,6231.50906252861,mnist-net,train
747,0.049,1,5771.234897613525,mnist-net,train
765,0.041,1,4982.402839899063,mnist-net,train
779,0.049,1,5624.5064108371735,mnist-net,train
780,0.025,1,3972.871358156204,mnist-net,train
783,0.049,1,6616.086756706238,mnist-net,train
809,0.043,1,4564.928892374039,mnist-net,train
821,0.047,1,4730.483660697937,mnist-net,train
1,0.033,2,936.1539530754088,mnist-net,test
35,0.049,2,8785.34097313881,mnist-net,test
38,0.035,2,4932.543774843216,mnist-net,test
43,0.021,2,3393.040987491608,mnist-net,test
47,0.019,2,323.890527009964,mnist-net,test
72,0.051,2,6582.320126533508,mnist-net,test
77,0.055,2,9548.979122400284,mnist-net,test
82,0.047,2,4006.3222579956055,mnist-net,test
106,0.047,2,5105.470168352127,mnist-net,test
119,0.027,2,1858.1191143989563,mnist-net,test
147,0.051,2,3905.288001298904,mnist-net,test
172,0.027,2,848.3622722625732,mnist-net,test
174,0.047,2,6559.819427490234,mnist-net,test
186,0.067,2,4714.46297121048,mnist-net,test
199,0.019,2,1318.8463463783264,mnist-net,test
