epsilon,result,label,runtime,network,image,ds
0.043,unsat,0,3536.29729795456,mnist-net,1197,test
0.055,sat,0,9.950612545013428,mnist-net,1197,test
0.053,sat,0,226.0791139602661,mnist-net,1197,test
0.047,unsat,0,3266.412738800049,mnist-net,1197,test
0.049,unsat,0,3436.919791460037,mnist-net,1197,test
0.051,unsat,0,3384.7539575099945,mnist-net,1197,test
0.265,sat,0,5.172525644302368,mnist-net,126,test
0.133,sat,0,40.831427335739136,mnist-net,126,test
0.131,sat,0,40.78342819213867,mnist-net,126,test
0.063,unsat,0,3245.0922038555145,mnist-net,126,test
0.097,sat,0,36.42338514328003,mnist-net,126,test
0.065,unsat,0,3396.0165724754333,mnist-net,126,test
0.081,unsat,0,3209.3253531456,mnist-net,126,test
0.079,cancelled,0,3112.0674023628235,mnist-net,126,test
0.091,sat,0,44.08727431297302,mnist-net,126,test
0.087,sat,0,194.03291487693787,mnist-net,126,test
0.085,sat,0,1876.0719013214111,mnist-net,126,test
0.083,unsat,0,3312.850703239441,mnist-net,126,test
0.265,sat,0,2.242692470550537,mnist-net,13,test
0.133,sat,0,3.240665435791016,mnist-net,13,test
0.131,sat,0,3.17711877822876,mnist-net,13,test
0.063,unsat,0,108.95789217948914,mnist-net,13,test
0.097,sat,0,3.144331693649292,mnist-net,13,test
0.065,unsat,0,129.8374137878418,mnist-net,13,test
0.081,sat,0,8.83508563041687,mnist-net,13,test
0.079,sat,0,17.799559593200684,mnist-net,13,test
0.071,unsat,0,942.9265818595886,mnist-net,13,test
0.073,unsat,0,2236.157044172287,mnist-net,13,test
0.075,unsat,0,3381.150694847107,mnist-net,13,test
0.077,unsat,0,3464.113065958023,mnist-net,13,test
0.133,sat,0,3.550489664077759,mnist-net,136,test
0.265,cancelled,0,5.850931167602539,mnist-net,136,test
0.265,sat,0,3.555663585662842,mnist-net,136,test
0.087,sat,0,3.5314536094665527,mnist-net,136,test
0.041,unsat,0,108.6077115535736,mnist-net,136,test
0.065,sat,0,34.55327224731445,mnist-net,136,test
0.043,unsat,0,200.92152214050293,mnist-net,136,test
0.053,unsat,0,3430.0709602832794,mnist-net,136,test
0.055,unsat,0,3400.213503837585,mnist-net,136,test
0.059,unsat,0,3525.655519247055,mnist-net,136,test
0.061,unsat,0,3561.045531988144,mnist-net,136,test
0.063,sat,0,102.37573289871216,mnist-net,136,test
0.265,sat,0,3.677216053009033,mnist-net,148,test
0.133,sat,0,3.6715712547302246,mnist-net,148,test
0.131,sat,0,3.568467617034912,mnist-net,148,test
0.065,sat,0,143.49581956863403,mnist-net,148,test
0.031,unsat,0,2.163424491882324,mnist-net,148,test
0.063,sat,0,167.94801330566406,mnist-net,148,test
0.045,unsat,0,2854.754754781723,mnist-net,148,test
0.047,unsat,0,3334.575326919556,mnist-net,148,test
0.055,timeout,0,3600.0,mnist-net,148,test
0.053,unsat,0,3389.841975212097,mnist-net,148,test
0.057,unsat,0,3436.912781715393,mnist-net,148,test
0.059,unsat,0,3263.9442126750946,mnist-net,148,test
0.061,unsat,0,3537.773455142975,mnist-net,148,test
0.265,sat,0,2.747659206390381,mnist-net,157,test
0.133,sat,0,3.945876121520996,mnist-net,157,test
0.131,sat,0,4.112735986709595,mnist-net,157,test
0.065,unsat,0,3430.104986190796,mnist-net,157,test
0.063,cancelled,0,3427.334822416305,mnist-net,157,test
0.107,sat,0,5.554545640945435,mnist-net,157,test
0.085,sat,0,4.819620132446289,mnist-net,157,test
0.087,cancelled,0,20.76304078102112,mnist-net,157,test
0.071,sat,0,37.23173260688782,mnist-net,157,test
0.077,cancelled,0,42.679624795913696,mnist-net,157,test
0.069,sat,0,48.536744117736816,mnist-net,157,test
0.067,sat,0,48.69107007980347,mnist-net,157,test
0.133,sat,0,5.390391111373901,mnist-net,183,test
0.265,cancelled,0,9.21259903907776,mnist-net,183,test
0.043,unsat,0,2.855295419692993,mnist-net,183,test
0.087,sat,0,27.528774976730347,mnist-net,183,test
0.089,cancelled,0,24.608848333358765,mnist-net,183,test
0.057,unsat,0,148.94400644302368,mnist-net,183,test
0.071,unsat,0,3228.998626232147,mnist-net,183,test
0.073,unsat,0,3340.188519477844,mnist-net,183,test
0.079,unsat,0,3378.916618347168,mnist-net,183,test
0.081,timeout,0,3600.0,mnist-net,183,test
0.083,unsat,0,3344.0029587745667,mnist-net,183,test
0.085,unsat,0,3403.85893535614,mnist-net,183,test
0.133,sat,0,4.37190842628479,mnist-net,188,test
0.265,cancelled,0,8.025100946426392,mnist-net,188,test
0.087,sat,0,4.392441987991333,mnist-net,188,test
0.041,unsat,0,27.766207695007324,mnist-net,188,test
0.065,sat,0,4.253299951553345,mnist-net,188,test
0.043,unsat,0,60.56264400482178,mnist-net,188,test
0.055,unsat,0,3459.374728918076,mnist-net,188,test
0.053,cancelled,0,3481.192968606949,mnist-net,188,test
0.061,sat,0,6.466289043426514,mnist-net,188,test
0.059,sat,0,16.940801858901978,mnist-net,188,test
0.057,sat,0,59.95089888572693,mnist-net,188,test
0.265,sat,0,5.406993389129639,mnist-net,192,test
0.133,sat,0,5.436793088912964,mnist-net,192,test
0.131,sat,0,4.923537492752075,mnist-net,192,test
0.065,sat,0,26.35507750511169,mnist-net,192,test
0.031,unsat,0,2.574706792831421,mnist-net,192,test
0.063,sat,0,25.65947198867798,mnist-net,192,test
0.045,unsat,0,3284.644568681717,mnist-net,192,test
0.047,unsat,0,3288.46683716774,mnist-net,192,test
0.055,sat,0,39.115612506866455,mnist-net,192,test
0.053,sat,0,43.27059960365296,mnist-net,192,test
0.051,unsat,0,3292.3123474121094,mnist-net,192,test
0.049,cancelled,0,3301.627475500107,mnist-net,192,test
0.265,sat,0,2.7367963790893555,mnist-net,194,test
0.133,sat,0,4.243656635284424,mnist-net,194,test
0.131,sat,0,4.008225917816162,mnist-net,194,test
0.065,sat,0,4.033282518386841,mnist-net,194,test
0.063,sat,0,3.8778891563415527,mnist-net,194,test
0.031,sat,0,2.6297495365142822,mnist-net,194,test
0.029,sat,0,2.6707684993743896,mnist-net,194,test
0.013,unsat,0,2.379410743713379,mnist-net,194,test
0.015,unsat,0,2.1990303993225098,mnist-net,194,test
0.021,unsat,0,55.33062291145325,mnist-net,194,test
0.025,sat,0,2.0685789585113525,mnist-net,194,test
0.023,unsat,0,147.3602385520935,mnist-net,194,test
0.133,sat,0,3.5334837436676025,mnist-net,215,test
0.265,cancelled,0,6.575188636779785,mnist-net,215,test
0.265,sat,0,3.572697162628174,mnist-net,215,test
0.087,sat,0,3.576728343963623,mnist-net,215,test
0.043,unsat,0,330.98212933540344,mnist-net,215,test
0.041,cancelled,0,327.35293650627136,mnist-net,215,test
0.071,sat,0,3.2901241779327397,mnist-net,215,test
0.055,sat,0,68.65879225730896,mnist-net,215,test
0.057,cancelled,0,81.78864192962646,mnist-net,215,test
0.049,sat,0,61.77957320213318,mnist-net,215,test
0.047,sat,0,61.87903094291687,mnist-net,215,test
0.045,unsat,0,3237.715211629868,mnist-net,215,test
0.265,sat,0,2.181202888488769,mnist-net,246,test
0.133,sat,0,3.2645671367645264,mnist-net,246,test
0.131,sat,0,3.078892469406128,mnist-net,246,test
0.063,unsat,0,140.48115229606628,mnist-net,246,test
0.097,sat,0,3.486741065979004,mnist-net,246,test
0.065,unsat,0,325.22247290611267,mnist-net,246,test
0.081,sat,0,270.7266130447388,mnist-net,246,test
