image,Epsilon,runtime
259,,17.77453899383545
260,,17.25034236907959
261,,19.344221830368042
262,0.023,23.171375274658203
263,0.021,20.953694581985474
265,0.017,18.360047578811646
267,0.025,42.28707671165466
269,0.057,7145.909135818481
270,0.099,14125.548849105835
271,0.059,11200.931948661804
273,0.005,21.98185396194458
275,0.013,19.86898374557495
276,0.021,39.28256320953369
277,0.003,16.952612161636353
279,0.021,1781.8703005313873
280,0.035,97.24118757247925
281,0.017,44.240840911865234
282,0.001,17.85548996925354
283,,20.552043437957764
285,0.063,6730.070636034012
286,0.005,27.407524824142456
287,0.019,26.712406158447266
288,0.021,170.16665291786194
289,,22.880438089370728
290,,25.894548177719116
291,0.029,52.35056233406067
293,,27.728153467178345
294,0.047,7088.030826091766
295,0.013,22.96839213371277
296,0.089,3568.3020389080048
297,0.065,3499.0942158699036
298,0.043,307.0036177635193
299,,20.649170398712158
300,0.005,20.767037391662598
301,,16.440797805786133
302,0.023,3223.2916553020477
303,0.037,7092.705070972443
304,,16.438066005706787
305,0.041,683.8725280761719
307,,18.072392225265503
308,0.003,20.037981510162354
309,0.011,23.38960909843445
310,0.023,4374.11803150177
311,0.153,6977.908181428909
312,0.075,7103.324574232101
313,,20.3666090965271
314,0.023,24.872568607330322
315,0.013,19.142207145690918
317,,17.783949613571167
318,,17.45126962661743
319,,16.94977116584778
320,0.001,17.355792999267578
321,,17.47314167022705
322,0.031,3471.0185527801514
323,0.023,393.9746284484863
325,0.007,25.465585470199585
326,0.043,4438.587384223938
327,0.113,10547.926538944244
329,0.023,328.42399549484253
331,0.019,18.200794458389282
334,0.049,7201.399444580078
335,0.023,3994.751825094223
336,0.003,22.545584440231323
337,0.019,76.61799049377441
338,,21.678256273269653
339,,21.02675437927246
341,,26.468243837356567
342,0.021,95.044198513031
343,0.015,20.173771142959595
344,0.021,66.87638735771179
345,0.021,24.35789728164673
347,,17.082284688949585
348,0.019,27.665850400924683
349,,20.248942136764526
350,0.027,3471.9514713287354
351,,20.251047611236572
352,,19.934145212173462
353,0.027,34.17198848724365
354,0.021,53.514711141586304
355,0.031,2710.9192309379578
356,,17.569350957870483
357,0.011,22.355750560760498
358,0.011,23.860880374908447
359,0.011,21.46135711669922
360,0.009,21.071950435638428
361,0.029,593.7777390480042
362,,20.25229501724243
363,0.039,6982.4326021671295
364,,19.753374338150024
365,0.017,4333.975318670273
366,0.015,21.56563425064087
367,,17.154794692993164
368,0.009,20.36057448387146
369,0.047,7940.415950536728
370,0.019,19.76357913017273
371,0.041,3864.3914132118225
372,0.057,7156.554885864258
373,,24.577600717544556
374,0.019,74.03123927116394
375,,21.233639001846313
377,0.021,117.59263920783997
378,0.023,109.51293063163757
379,0.023,92.80441069602966
380,0.063,3592.993348836899
381,,22.116178512573242
382,0.017,597.8565850257874
383,0.021,64.17150354385376
385,0.019,46.817893505096436
387,0.049,7909.857310056686
388,0.025,3451.5563113689423
389,0.023,26.565629482269287
390,0.025,50.524826526641846
391,,16.765124559402466
392,0.031,3489.3079042434692
393,0.023,303.85298800468445
394,0.001,18.349679946899414
395,,19.876713514328003
397,,17.140015363693237
398,0.021,68.91132998466492
399,0.003,17.282769203186035
400,0.035,41.10605716705322
401,,18.555964469909668
402,0.015,53.36272716522217
403,,20.3520827293396
405,,19.948220252990723
406,,19.653250694274902
408,0.007,21.07862114906311
409,0.019,20.96398425102234
410,0.027,29.292508363723755
411,0.009,18.25965905189514
413,0.027,27.081647396087646
415,0.021,1020.9331357479095
416,0.021,25.74407172203064
417,0.023,478.39665961265564
419,0.015,34.67335486412048
421,0.023,21.070507049560547
422,0.029,3584.7059965133667
423,0.063,3828.390522480011
424,0.073,8339.904510259628
425,0.001,18.359000205993652
426,0.017,32.410290241241455
427,0.019,468.71944880485535
428,,20.768598318099976
429,0.025,233.57142519950867
430,0.021,1024.4391345977783
431,,21.157997608184814
432,0.015,22.465755701065063
433,,17.35616970062256
434,0.013,18.560048818588257
435,0.005,23.071144580841064
436,0.031,3601.6172437667847
437,0.081,5838.674161911011
438,0.023,23.290762186050415
439,0.001,20.65046525001526
440,0.153,11442.080714941025
441,0.047,3745.45218706131
442,0.015,607.2740631103516
443,,20.86018705368042
445,,19.95506715774536
446,0.001,20.055855751037598
447,,20.844120979309082
448,,16.87109923362732
449,0.017,28.25143051147461
450,0.009,22.977564096450806
451,,18.19359540939331
453,,20.460047245025635
454,0.007,18.65664267539978
455,0.025,3559.7777168750763
456,0.007,17.795719146728516
457,,19.44557547569275
458,0.019,212.89891576766968
460,,20.638978004455566
461,0.009,17.96861481666565
462,,17.855528354644775
464,,19.747959852218628
465,,19.75200390815735
466,0.009,21.054677963256836
467,0.049,7137.596678495407
468,0.007,27.550699949264526
469,,27.008766174316406
470,0.003,28.098218202590942
471,0.017,959.4889018535614
472,0.015,93.39297294616699
473,0.017,428.05639910697937
