image,Epsilon,runtime
99,0.073,10217.912214040756
100,0.061,11270.293753147125
101,0.101,10207.762775659561
102,0.101,10008.090226888657
103,0.085,13246.82275724411
104,0.029,6920.940510749817
105,0.023,10468.215368509293
106,0.129,7014.154917955399
107,0.065,9852.051363229752
108,0.045,10358.460584402084
109,0.069,7873.950895309448
110,0.081,13584.207059621811
111,0.035,6778.916335821152
112,0.063,6814.397397041321
113,0.047,6554.182251930237
114,0.007,3591.9745445251465
115,0.003,43.935487270355225
116,0.049,10617.534693717957
117,0.049,10344.412641048431
118,0.045,9857.770951986313
119,0.085,13362.358807563782
120,0.033,3395.6261932849884
121,0.043,6814.168424844742
122,0.037,8008.117696762085
123,0.051,9870.099831104279
124,0.065,10264.33312344551
125,0.041,6748.342931032181
126,0.059,13608.789382457733
127,0.115,10441.784397602081
128,0.085,5902.0224533081055
129,0.087,6226.56542801857
130,0.097,6766.367583990097
131,0.109,7144.552153348923
132,0.037,6815.487962722778
133,0.011,3612.4180088043213
134,0.115,10459.877444505692
135,0.061,13903.701131105423
136,0.081,10317.80661559105
137,0.065,12306.401460170746
138,0.099,8385.373611211777
139,0.039,6984.031186342239
140,0.055,10607.933421134949
141,0.067,7086.5443749427795
142,0.017,3729.6425936222076
143,0.059,10130.802392959595
144,0.043,4392.198797464371
145,0.041,7034.093121290207
146,0.103,12575.929660320282
147,0.099,12943.967075109482
149,0.137,6873.07293510437
150,0.097,13688.821335554123
151,0.115,11395.40246629715
152,0.057,6850.494576692581
153,0.037,10438.420454025269
154,0.015,3396.6918952465057
155,0.107,10738.971564769745
156,0.127,17005.613045215607
157,0.103,14102.55388712883
158,0.071,6874.599794149399
159,0.091,13683.410816192627
160,0.041,6989.930559873581
161,0.103,13769.2820250988
162,0.059,13393.085498332977
163,0.045,10079.166295051575
164,0.081,13456.499613285065
165,0.107,9674.9451546669
166,0.059,10014.013747930527
167,0.081,14028.531577825546
169,0.085,6348.22599029541
170,0.061,13685.253304243088
