,network,metric_1,metric_2,metric_3,metric_4,run
100,mnist_relu_9_100,0,0.0,0.005917372182011604,0.003368232399225235,0
101,mnist_relu_9_100,0,0.0,0.005852768197655678,0.003368232399225235,1
102,mnist_relu_9_100,0,0.0,0.005807751789689064,0.0034893862903118134,2
103,mnist_relu_9_100,0,0.0,0.005820205435156822,0.0034663211554288864,3
104,mnist_relu_9_100,0,0.0,0.005811313167214394,0.003368126228451729,4
105,mnist_relu_9_100,0,0.0,0.005912741646170616,0.0032479390501976013,5
106,mnist_relu_9_100,0,0.0,0.005923779681324959,0.002887764945626259,6
107,mnist_relu_9_100,0,0.0,0.006038067862391472,0.0034648608416318893,7
108,mnist_relu_9_100,0,0.0,0.005863616243004799,0.0032487399876117706,8
109,mnist_relu_9_100,0,0.0,0.005826991051435471,0.003608236089348793,9
110,mnist_relu_9_200,1,0.8415417671203613,0.0,0.02116485685110092,0
111,mnist_relu_9_200,1,0.8464819192886353,0.0,0.020992785692214966,1
112,mnist_relu_9_200,1,0.8476395010948181,0.0,0.020992785692214966,2
113,mnist_relu_9_200,1,0.8433476686477661,0.0,0.020992785692214966,3
114,mnist_relu_9_200,1,0.8473118543624878,0.0,0.020997026935219765,4
115,mnist_relu_9_200,1,0.8458243608474731,0.0,0.020992785692214966,5
116,mnist_relu_9_200,1,0.8476395010948181,0.0,0.021171733736991882,6
117,mnist_relu_9_200,1,0.8436830639839172,0.0,0.020992785692214966,7
118,mnist_relu_9_200,1,0.8454936146736145,0.0,0.020992785692214966,8
119,mnist_relu_9_200,1,0.8443496823310852,0.0,0.02116485685110092,9
