,network,metric_1,metric_2,metric_3,metric_4,run
29,mnist-net_256x4,1,0.05984555184841156,0.0052149053663015366,0.017569977790117264,9
30,mnist-net_256x6,1,0.012919895350933075,0.008096707053482533,0.018605459481477737,0
31,mnist-net_256x6,1,0.04744524881243706,0.005736084654927254,0.015659090131521225,1
32,mnist-net_256x6,0,0.0,0.003230096772313118,0.0016722679138183594,2
33,mnist-net_256x6,1,0.08055165410041809,0.004703164100646973,0.04101483151316643,3
34,mnist-net_256x6,0,0.0,0.009186758659780025,0.016103142872452736,4
35,mnist-net_256x6,0,0.0,0.012167463079094887,0.007444810122251511,5
36,mnist-net_256x6,1,0.2539682686328888,0.000790908932685852,0.0075049251317977905,6
37,mnist-net_256x6,1,0.19328704476356506,0.0,0.01891482062637806,7
38,mnist-net_256x6,0,0.0,0.011774750426411629,0.020551268011331558,8
39,mnist-net_256x6,0,0.0,0.014315599575638771,0.017973242327570915,9
40,mnist_nn,0,0.0,0.003276930656284094,0.004373261705040932,0
41,mnist_nn,1,0.10845588892698288,0.00110545102506876,0.004669678397476673,1
42,mnist_nn,1,0.21997299790382385,0.0006851591169834137,0.004805266857147217,2
43,mnist_nn,1,0.0010917030740529299,0.003577528055757284,0.007890766486525536,3
44,mnist_nn,0,0.0,0.00237755523994565,0.004936017096042633,4
45,mnist_nn,0,0.0,0.005300582852214575,0.00865472387522459,5
46,mnist_nn,0,0.0,0.004344608169049025,0.006869589909911156,6
47,mnist_nn,0,0.0,0.003659468609839678,0.006733265705406666,7
48,mnist_nn,1,0.044534407556056976,0.001585876103490591,0.00409553200006485,8
49,mnist_nn,0,0.0,0.004035677760839462,0.0014659874141216278,9
50,mnist_relu_3_100,1,0.14210529625415802,0.0024506468325853348,0.012843393720686436,0
51,mnist_relu_3_100,1,0.29487180709838867,0.0005333125591278076,0.006350195966660976,1
52,mnist_relu_3_100,0,0.0,0.012362940236926079,0.005530700087547302,2
53,mnist_relu_3_100,0,0.0,0.008766399696469307,0.012656174600124359,3
54,mnist_relu_3_100,0,0.0,0.009643640369176865,0.010600008070468903,4
55,mnist_relu_3_100,0,0.0,0.00788656622171402,0.013292580842971802,5
56,mnist_relu_3_100,1,0.23991508781909943,0.00024260766804218292,0.013732106424868107,6
57,mnist_relu_3_100,1,0.13527271151542664,0.002123543992638588,0.01860412023961544,7
58,mnist_relu_3_100,1,0.04726368561387062,0.005774719640612602,0.018746674060821533,8
59,mnist_relu_3_100,0,0.0,0.009485932067036629,0.007684364914894104,9
60,mnist_relu_3_50,1,0.23791822791099548,0.0,0.013699854724109173,0
61,mnist_relu_3_50,0,0.0,0.0042848773300647736,0.004796938970685005,1
62,mnist_relu_3_50,0,0.0,0.004568098112940788,0.007057793438434601,2
63,mnist_relu_3_50,1,0.1551724076271057,0.0035834219306707382,0.010817771777510643,3
64,mnist_relu_3_50,1,0.0797872319817543,0.004733989015221596,0.013397391885519028,4
65,mnist_relu_3_50,1,0.017241379246115685,0.006301846355199814,0.012991273775696754,5
66,mnist_relu_3_50,0,0.0,0.0027338434010744095,0.0050698332488536835,6
67,mnist_relu_3_50,1,0.1735241413116455,0.001997029408812523,0.016226692125201225,7
68,mnist_relu_3_50,0,0.0,0.011225098744034767,0.010621350258588791,8
69,mnist_relu_3_50,1,0.5909091830253601,0.0,0.002161722630262375,9
70,mnist_relu_4_1024,0,0.0,0.02458488941192627,0.025891534984111786,0
71,mnist_relu_4_1024,1,0.08506224304437637,0.004266838543117046,0.020254431292414665,1
72,mnist_relu_4_1024,0,0.0,0.012293669395148754,0.018074074760079384,2
73,mnist_relu_4_1024,0,0.0,0.015420966781675816,0.02077469788491726,3
74,mnist_relu_4_1024,1,0.1118420884013176,0.002655969001352787,0.012742385268211365,4
75,mnist_relu_4_1024,1,0.01084010861814022,0.010082540102303028,0.021870214492082596,5
76,mnist_relu_4_1024,1,0.16798847913742065,0.0010442296043038368,0.020901339128613472,6
77,mnist_relu_4_1024,0,0.0,0.012510708533227444,0.02291133813560009,7
78,mnist_relu_4_1024,1,0.054744523018598557,0.00587949063628912,0.022478777915239334,8
79,mnist_relu_4_1024,1,0.04114583879709244,0.005500492639839649,0.019131921231746674,9
80,mnist_relu_6_100,0,0.0,0.017196089029312134,0.021192049607634544,0
81,mnist_relu_6_100,0,0.0,0.008848671801388264,0.013411261141300201,1
82,mnist_relu_6_100,0,0.0,0.012623286806046963,0.00991814211010933,2
83,mnist_relu_6_100,1,0.0809883326292038,0.004061737097799778,0.02068135142326355,3
84,mnist_relu_6_100,1,0.07421875,0.004017098806798458,0.01407431811094284,4
85,mnist_relu_6_100,0,0.0,0.019162453711032867,0.018717290833592415,5
