,network,metric_1,metric_2,metric_3,metric_4,run
56,mnist_relu_3_100,1,0.9893842935562134,0.0,0.013732106424868107,6
57,mnist_relu_3_100,1,0.9934545159339905,0.0,0.01860412023961544,7
58,mnist_relu_3_100,1,0.3283582329750061,0.0017747189849615097,0.018746674060821533,8
59,mnist_relu_3_100,0,0.0,0.005485931411385536,0.007684364914894104,9
60,mnist_relu_3_50,1,0.9368029832839966,0.0,0.013699854724109173,0
61,mnist_relu_3_50,1,1.0,0.0,0.004796938970685005,1
62,mnist_relu_3_50,1,0.42028987407684326,0.0005680974572896957,0.007057793438434601,2
63,mnist_relu_3_50,1,0.5862069129943848,0.0,0.010817771777510643,3
64,mnist_relu_3_50,1,0.4202127456665039,0.0007339883595705032,0.013397391885519028,4
65,mnist_relu_3_50,1,0.24827586114406586,0.0023018456995487213,0.012991273775696754,5
66,mnist_relu_3_50,1,0.7547169327735901,0.0,0.0050698332488536835,6
67,mnist_relu_3_50,1,0.7930828928947449,0.0,0.016226692125201225,7
68,mnist_relu_3_50,0,0.0,0.007225098088383675,0.010621350258588791,8
69,mnist_relu_3_50,1,1.0,0.0,0.002161722630262375,9
70,mnist_relu_4_1024,0,0.0,0.01858489029109478,0.025891534984111786,0
71,mnist_relu_4_1024,1,0.6327800750732422,0.0,0.020254431292414665,1
72,mnist_relu_4_1024,1,0.08294931799173355,0.00629366934299469,0.018074074760079384,2
73,mnist_relu_4_1024,1,0.015027320012450218,0.009420966729521751,0.02077469788491726,3
74,mnist_relu_4_1024,1,0.8289474248886108,0.0,0.012742385268211365,4
75,mnist_relu_4_1024,1,0.20596206188201904,0.004082540050148964,0.021870214492082596,5
76,mnist_relu_4_1024,1,0.8911319375038147,0.0,0.020901339128613472,6
77,mnist_relu_4_1024,1,0.08474575728178024,0.0065107084810733795,0.02291133813560009,7
78,mnist_relu_4_1024,1,0.5,0.0,0.022478777915239334,8
79,mnist_relu_4_1024,1,0.5619791746139526,0.0,0.019131921231746674,9
80,mnist_relu_6_100,1,0.059228647500276566,0.007196089252829552,0.021192049607634544,0
81,mnist_relu_6_100,1,0.6298700571060181,0.0,0.013411261141300201,1
82,mnist_relu_6_100,1,0.23404254019260406,0.002623286098241806,0.00991814211010933,2
83,mnist_relu_6_100,1,0.9519561529159546,0.0,0.02068135142326355,3
84,mnist_relu_6_100,1,0.96484375,0.0,0.01407431811094284,4
85,mnist_relu_6_100,1,0.017492711544036865,0.009162453934550285,0.018717290833592415,5
86,mnist_relu_6_100,1,0.9367088079452515,0.0,0.021130690351128578,6
87,mnist_relu_6_100,1,0.7816091775894165,0.0,0.01831550896167755,7
88,mnist_relu_6_100,1,0.9999999403953552,0.0,0.009716397151350975,8
89,mnist_relu_6_100,1,0.5647059082984924,0.0,0.010187188163399696,9
90,mnist_relu_6_200,1,0.8235293626785278,0.0,0.01583836041390896,0
91,mnist_relu_6_200,1,1.0000001192092896,0.0,0.010197381488978863,1
92,mnist_relu_6_200,1,0.9293544292449951,0.0,0.02500547468662262,2
93,mnist_relu_6_200,1,0.7094595432281494,0.0,0.012778468430042267,3
94,mnist_relu_6_200,1,0.8833334445953369,0.0,0.014521373435854912,4
95,mnist_relu_6_200,1,1.0,0.0,0.007906600832939148,5
96,mnist_relu_6_200,1,1.0,0.0,0.011653026565909386,6
97,mnist_relu_6_200,1,1.0,0.0,0.013229461386799812,7
98,mnist_relu_6_200,1,0.6979591846466064,0.0,0.020971309393644333,8
99,mnist_relu_6_200,1,1.0,0.0,0.00989963486790657,9
100,mnist_relu_9_100,1,0.5122866630554199,0.0,0.022832972928881645,0
101,mnist_relu_9_100,1,0.7356321811676025,0.0,0.013916568830609322,1
102,mnist_relu_9_100,1,0.9724769592285156,0.0,0.012033460661768913,2
103,mnist_relu_9_100,1,1.0,0.0,0.008340651169419289,3
104,mnist_relu_9_100,1,0.8824859261512756,0.0,0.015376857481896877,4
105,mnist_relu_9_100,1,0.3030303120613098,0.002110501751303673,0.010652262717485428,5
106,mnist_relu_9_100,1,0.1428571492433548,0.00402335450053215,0.017818305641412735,6
107,mnist_relu_9_100,1,0.584905743598938,0.0,0.00495392270386219,7
108,mnist_relu_9_100,1,0.282814621925354,0.001980261877179146,0.015151271596550941,8
109,mnist_relu_9_100,1,0.7981652021408081,0.0,0.010496382601559162,9
110,mnist_relu_9_200,1,1.0000001192092896,0.0,0.01846972480416298,0
111,mnist_relu_9_200,1,0.9568034410476685,0.0,0.017292283475399017,1
112,mnist_relu_9_200,1,0.4927535653114319,9.564869105815887e-05,0.008134070783853531,2
113,mnist_relu_9_200,1,1.0,0.0,0.005724506452679634,3
114,mnist_relu_9_200,1,0.9906743168830872,0.0,0.022478049620985985,4
115,mnist_relu_9_200,1,1.0,0.0,0.009519212879240513,5
116,mnist_relu_9_200,1,1.0,0.0,0.012937013059854507,6
117,mnist_relu_9_200,1,0.9126214981079102,0.0,0.01502675749361515,7
118,mnist_relu_9_200,1,0.45185184478759766,0.0006598420441150665,0.014015579596161842,8
119,mnist_relu_9_200,1,0.978622317314148,0.0,0.01968355104327202,9
